Time_s   F0_Hz
0.023617   --undefined--
0.033617   --undefined--
0.043617   --undefined--
0.053617   --undefined--
0.063617   --undefined--
0.073617   --undefined--
0.083617   120.976804
0.093617   125.633557
0.103617   122.570701
0.113617   121.727536
0.123617   122.858409
0.133617   124.586181
0.143617   127.245901
0.153617   129.824964
0.163617   132.143124
0.173617   133.752944
0.183617   133.905693
0.193617   132.457710
0.203617   129.644312
0.213617   127.059175
0.223617   128.463972
0.233617   130.461386
0.243617   130.509770
0.253617   --undefined--
0.263617   --undefined--
0.273617   --undefined--
0.283617   --undefined--
0.293617   --undefined--
0.303617   --undefined--
0.313617   --undefined--
0.323617   --undefined--
0.333617   137.498234
0.343617   133.667697
0.353617   128.494220
0.363617   122.741351
0.373617   115.473004
0.383617   110.711811
0.393617   128.756692
0.403617   135.167787
0.413617   137.200533
0.423617   --undefined--
0.433617   --undefined--
0.443617   --undefined--
0.453617   151.791270
0.463617   153.627475
0.473617   154.449926
0.483617   154.440356
0.493617   153.676794
0.503617   155.602291
0.513617   158.055065
0.523617   159.245774
0.533617   162.305149
0.543617   166.559856
0.553617   175.585090
0.563617   186.807173
0.573617   97.469736
0.583617   100.166851
0.593617   102.162057
0.603617   102.530882
0.613617   99.808853
0.623617   98.591697
0.633617   98.604750
0.643617   98.509948
0.653617   97.398300
0.663617   195.710985
0.673617   195.767569
0.683617   196.513452
0.693617   196.415443
0.703617   196.831613
0.713617   196.719848
0.723617   --undefined--
0.733617   --undefined--
0.743617   79.489702
