Time_s   F0_Hz
0.023311   --undefined--
0.033311   --undefined--
0.043311   --undefined--
0.053311   --undefined--
0.063311   --undefined--
0.073311   --undefined--
0.083311   --undefined--
0.093311   --undefined--
0.103311   --undefined--
0.113311   --undefined--
0.123311   --undefined--
0.133311   --undefined--
0.143311   --undefined--
0.153311   223.304788
0.163311   219.101200
0.173311   212.608660
0.183311   207.829020
0.193311   206.227868
0.203311   208.284890
0.213311   211.778735
0.223311   219.747437
0.233311   222.588672
0.243311   223.442738
0.253311   214.433929
0.263311   213.307068
0.273311   205.952907
0.283311   198.300228
0.293311   194.069381
0.303311   188.299533
0.313311   188.188393
0.323311   187.683871
0.333311   188.497594
0.343311   193.165304
0.353311   200.585720
0.363311   213.675908
0.373311   213.672862
0.383311   211.998555
0.393311   210.769739
0.403311   210.776388
0.413311   211.200005
0.423311   213.449300
0.433311   220.271154
0.443311   222.569128
0.453311   215.986472
0.463311   207.308046
0.473311   219.636069
0.483311   224.257346
0.493311   237.538676
0.503311   244.835977
0.513311   253.808755
0.523311   260.589332
0.533311   268.272234
0.543311   272.842209
0.553311   276.632065
0.563311   279.769908
0.573311   283.059976
0.583311   284.462896
0.593311   287.327287
0.603311   289.230963
0.613311   290.480043
0.623311   290.705860
0.633311   288.885711
0.643311   285.986209
0.653311   280.014237
0.663311   269.415880
0.673311   263.015867
0.683311   260.292227
0.693311   257.297113
0.703311   254.932088
0.713311   253.731233
0.723311   250.559941
0.733311   221.072074
0.743311   256.252867
0.753311   --undefined--
0.763311   --undefined--
0.773311   --undefined--
0.783311   --undefined--
0.793311   --undefined--
0.803311   --undefined--
0.813311   --undefined--
0.823311   257.648330
0.833311   253.511808
0.843311   251.553827
0.853311   249.741937
0.863311   247.641898
0.873311   242.765297
0.883311   234.854965
0.893311   232.054335
0.903311   --undefined--
0.913311   --undefined--
0.923311   --undefined--
0.933311   --undefined--
0.943311   --undefined--
0.953311   --undefined--
0.963311   --undefined--
0.973311   --undefined--
0.983311   --undefined--
0.993311   262.504938
1.003311   257.718673
1.013311   253.679310
1.023311   246.933444
1.033311   237.234311
1.043311   214.372043
1.053311   207.634413
1.063311   --undefined--
1.073311   --undefined--
1.083311   --undefined--
1.093311   --undefined--
1.103311   --undefined--
1.113311   --undefined--
1.123311   --undefined--
1.133311   198.242256
1.143311   195.824221
1.153311   191.756831
1.163311   188.509254
1.173311   188.055504
1.183311   194.638440
1.193311   199.299059
1.203311   208.326001
1.213311   208.462581
1.223311   204.362954
1.233311   206.141969
1.243311   209.116419
1.253311   209.106168
1.263311   212.496181
1.273311   220.136677
1.283311   227.322829
1.293311   226.769279
1.303311   226.019231
1.313311   219.688354
1.323311   219.403563
1.333311   211.424476
1.343311   204.892771
1.353311   201.047535
1.363311   201.299208
1.373311   --undefined--
1.383311   --undefined--
1.393311   --undefined--
1.403311   --undefined--
1.413311   254.115707
1.423311   242.999408
1.433311   236.420280
1.443311   230.247492
1.453311   225.414674
1.463311   224.341367
1.473311   216.960772
1.483311   195.692335
1.493311   --undefined--
1.503311   --undefined--
1.513311   --undefined--
1.523311   --undefined--
1.533311   --undefined--
1.543311   --undefined--
1.553311   --undefined--
1.563311   228.917561
1.573311   232.014499
1.583311   231.046291
1.593311   226.589334
1.603311   222.109827
1.613311   231.908541
1.623311   228.593211
1.633311   225.202734
1.643311   220.463788
1.653311   215.341659
1.663311   206.390494
1.673311   205.626329
1.683311   207.404819
1.693311   --undefined--
1.703311   --undefined--
1.713311   --undefined--
1.723311   --undefined--
1.733311   --undefined--
1.743311   --undefined--
1.753311   --undefined--
1.763311   --undefined--
1.773311   --undefined--
1.783311   --undefined--
1.793311   --undefined--
1.803311   --undefined--
1.813311   --undefined--
1.823311   --undefined--
1.833311   194.049206
1.843311   188.468192
1.853311   177.499994
1.863311   168.630288
1.873311   165.429480
1.883311   162.476919
1.893311   159.816555
1.903311   156.072642
1.913311   150.204548
1.923311   145.127587
1.933311   137.744960
1.943311   131.148185
1.953311   135.878205
1.963311   128.268456
1.973311   127.896002
1.983311   130.347362
1.993311   138.418337
2.003311   147.646937
2.013311   160.557748
2.023311   --undefined--
2.033311   --undefined--
2.043311   --undefined--
2.053311   --undefined--
2.063311   --undefined--
2.073311   --undefined--
2.083311   --undefined--
2.093311   --undefined--
2.103311   --undefined--
2.113311   --undefined--
2.123311   --undefined--
2.133311   --undefined--
2.143311   --undefined--
2.153311   --undefined--
2.163311   --undefined--
2.173311   --undefined--
2.183311   --undefined--
2.193311   --undefined--
2.203311   --undefined--
2.213311   --undefined--
2.223311   --undefined--
2.233311   --undefined--
2.243311   --undefined--
