Time_s   F0_Hz
0.020351   140.526084
0.030351   144.180142
0.040351   146.980168
0.050351   146.813390
0.060351   143.675651
0.070351   144.643205
0.080351   146.875253
0.090351   148.548106
0.100351   149.450752
0.110351   152.626571
0.120351   151.587618
0.130351   149.381614
0.140351   146.622907
0.150351   144.780299
0.160351   143.509918
0.170351   143.046352
0.180351   141.470296
0.190351   142.464017
0.200351   143.331883
0.210351   144.406369
0.220351   144.982115
0.230351   144.750607
0.240351   --undefined--
0.250351   --undefined--
0.260351   --undefined--
0.270351   --undefined--
0.280351   151.229009
0.290351   144.171932
0.300351   142.647926
0.310351   141.184698
0.320351   145.064405
0.330351   145.438738
0.340351   147.627313
0.350351   145.437567
0.360351   144.606777
0.370351   162.914268
0.380351   140.473664
0.390351   139.797859
0.400351   137.807453
0.410351   137.298528
0.420351   138.145413
0.430351   136.024715
0.440351   139.430804
0.450351   --undefined--
0.460351   --undefined--
0.470351   138.979083
0.480351   139.611076
0.490351   --undefined--
0.500351   --undefined--
0.510351   --undefined--
0.520351   --undefined--
0.530351   141.019745
0.540351   140.135721
0.550351   138.628943
0.560351   141.834551
0.570351   143.000624
0.580351   144.095426
0.590351   --undefined--
0.600351   --undefined--
0.610351   --undefined--
0.620351   --undefined--
0.630351   --undefined--
0.640351   --undefined--
0.650351   --undefined--
0.660351   --undefined--
0.670351   138.702988
0.680351   139.350985
0.690351   138.535693
0.700351   137.146126
0.710351   136.172526
0.720351   135.299449
0.730351   134.382783
0.740351   138.804906
0.750351   136.960046
0.760351   134.226911
0.770351   132.320993
0.780351   130.848239
0.790351   129.855889
0.800351   128.647644
0.810351   127.840281
0.820351   126.710132
0.830351   124.767680
0.840351   125.248531
0.850351   124.857557
0.860351   126.317352
0.870351   128.196075
0.880351   130.632778
0.890351   132.279694
0.900351   131.185898
0.910351   127.595397
0.920351   126.494701
0.930351   128.752830
0.940351   127.344666
0.950351   125.435523
0.960351   123.888367
0.970351   122.321998
0.980351   123.135352
0.990351   127.053061
1.000351   --undefined--
1.010351   --undefined--
1.020351   --undefined--
1.030351   124.135273
1.040351   125.864052
1.050351   124.537436
1.060351   123.821590
1.070351   123.959054
1.080351   123.692785
1.090351   125.640811
1.100351   --undefined--
1.110351   --undefined--
1.120351   --undefined--
1.130351   --undefined--
1.140351   --undefined--
1.150351   128.606380
1.160351   130.880153
1.170351   130.449477
1.180351   129.634471
1.190351   128.984775
1.200351   128.084234
1.210351   127.694533
1.220351   127.608632
1.230351   127.606615
1.240351   127.011197
1.250351   126.978263
1.260351   127.048835
1.270351   126.511854
1.280351   125.689745
1.290351   124.167068
1.300351   122.910737
1.310351   122.439613
1.320351   124.430928
1.330351   124.501068
1.340351   --undefined--
1.350351   --undefined--
1.360351   247.986147
1.370351   252.918842
1.380351   494.852379
1.390351   497.482311
1.400351   495.615987
1.410351   492.863350
1.420351   499.646439
1.430351   499.635820
1.440351   492.900402
1.450351   --undefined--
1.460351   117.159622
1.470351   116.212721
1.480351   115.488726
1.490351   115.778584
1.500351   116.609469
1.510351   116.687492
1.520351   117.613171
1.530351   119.325046
1.540351   119.929565
1.550351   119.877818
1.560351   119.742558
1.570351   119.435849
1.580351   118.599074
1.590351   117.029752
1.600351   115.903625
1.610351   115.657202
1.620351   115.691428
1.630351   116.029197
1.640351   115.269068
1.650351   113.188758
1.660351   111.567759
1.670351   111.041701
1.680351   112.001257
1.690351   111.925517
1.700351   116.107103
1.710351   123.963110
1.720351   128.154787
1.730351   128.423558
1.740351   126.579973
1.750351   125.440448
1.760351   123.938664
1.770351   122.631942
1.780351   122.135180
1.790351   121.902599
1.800351   123.430377
1.810351   124.980849
1.820351   127.864919
1.830351   129.944040
1.840351   134.404734
1.850351   132.640472
1.860351   128.261219
1.870351   125.773386
1.880351   123.108029
1.890351   121.699486
1.900351   120.982027
1.910351   119.846163
1.920351   123.190206
1.930351   123.097371
1.940351   121.728160
1.950351   122.121674
