Time_s   F0_Hz
0.022708   --undefined--
0.032708   --undefined--
0.042708   --undefined--
0.052708   --undefined--
0.062708   --undefined--
0.072708   --undefined--
0.082708   --undefined--
0.092708   --undefined--
0.102708   --undefined--
0.112708   --undefined--
0.122708   --undefined--
0.132708   --undefined--
0.142708   --undefined--
0.152708   --undefined--
0.162708   --undefined--
0.172708   --undefined--
0.182708   --undefined--
0.192708   --undefined--
0.202708   255.794542
0.212708   248.378038
0.222708   246.242646
0.232708   247.380251
0.242708   251.486144
0.252708   254.745689
0.262708   255.476375
0.272708   260.066520
0.282708   260.015987
0.292708   293.028734
0.302708   302.103207
0.312708   298.493844
0.322708   296.801540
0.332708   --undefined--
0.342708   --undefined--
0.352708   --undefined--
0.362708   --undefined--
0.372708   --undefined--
0.382708   --undefined--
0.392708   --undefined--
0.402708   --undefined--
0.412708   --undefined--
0.422708   --undefined--
0.432708   257.983946
0.442708   245.625866
0.452708   239.604971
0.462708   230.171326
0.472708   224.103708
0.482708   216.709552
0.492708   215.838766
0.502708   215.925678
0.512708   218.053486
0.522708   219.206525
0.532708   220.015380
0.542708   221.683893
0.552708   222.845878
0.562708   224.384963
0.572708   220.905086
0.582708   220.055729
0.592708   219.443808
0.602708   220.564500
0.612708   220.667344
0.622708   218.836966
0.632708   265.415388
0.642708   261.745570
0.652708   259.367209
0.662708   256.487452
0.672708   254.622456
0.682708   252.738920
0.692708   252.483103
0.702708   252.137763
0.712708   --undefined--
0.722708   --undefined--
0.732708   --undefined--
0.742708   --undefined--
0.752708   --undefined--
0.762708   --undefined--
0.772708   --undefined--
0.782708   --undefined--
0.792708   --undefined--
0.802708   --undefined--
0.812708   --undefined--
0.822708   --undefined--
0.832708   --undefined--
0.842708   --undefined--
0.852708   --undefined--
0.862708   --undefined--
0.872708   --undefined--
0.882708   --undefined--
0.892708   --undefined--
0.902708   --undefined--
0.912708   --undefined--
0.922708   --undefined--
0.932708   --undefined--
0.942708   --undefined--
0.952708   --undefined--
0.962708   190.987079
0.972708   191.427874
0.982708   186.727185
0.992708   184.099682
1.002708   186.956052
1.012708   189.268036
1.022708   185.640125
1.032708   187.011506
1.042708   190.616724
1.052708   190.177287
1.062708   187.980486
1.072708   189.396256
1.082708   190.991850
1.092708   190.113773
1.102708   185.906603
1.112708   185.689847
1.122708   224.171861
1.132708   223.015547
1.142708   223.832347
1.152708   227.148716
1.162708   236.439993
1.172708   235.627152
1.182708   234.126394
1.192708   232.506189
1.202708   --undefined--
1.212708   --undefined--
1.222708   --undefined--
1.232708   --undefined--
1.242708   --undefined--
1.252708   --undefined--
1.262708   --undefined--
1.272708   --undefined--
1.282708   --undefined--
1.292708   --undefined--
1.302708   --undefined--
1.312708   --undefined--
1.322708   --undefined--
1.332708   --undefined--
1.342708   --undefined--
1.352708   243.598249
1.362708   232.870256
1.372708   224.457343
1.382708   218.641383
1.392708   214.713049
1.402708   214.835112
1.412708   222.235491
1.422708   220.655656
1.432708   225.429304
1.442708   221.664285
1.452708   221.798223
1.462708   --undefined--
1.472708   --undefined--
1.482708   --undefined--
1.492708   --undefined--
1.502708   --undefined--
1.512708   86.836255
1.522708   87.033998
1.532708   86.998884
1.542708   85.776038
1.552708   85.476728
1.562708   88.287974
1.572708   87.847756
1.582708   87.971810
1.592708   92.698643
1.602708   91.557554
1.612708   90.851379
1.622708   87.687672
