Time_s   F0_Hz
0.024739   112.008986
0.034739   110.594381
0.044739   113.820170
0.054739   113.833926
0.064739   113.839634
0.074739   113.526571
0.084739   112.881085
0.094739   112.671715
0.104739   112.445122
0.114739   106.485713
0.124739   105.346167
0.134739   107.205255
0.144739   107.190358
0.154739   107.065765
0.164739   106.161663
0.174739   104.465059
0.184739   105.269346
0.194739   106.378458
0.204739   105.083864
0.214739   105.736390
0.224739   105.579230
0.234739   103.928590
0.244739   102.890160
0.254739   102.044937
0.264739   100.667794
0.274739   103.843437
0.284739   118.212288
0.294739   119.545277
0.304739   120.766658
0.314739   121.119778
0.324739   112.590272
0.334739   133.361523
0.344739   132.893778
0.354739   133.279990
0.364739   134.212942
0.374739   135.565457
0.384739   137.471312
0.394739   138.999366
0.404739   139.319965
0.414739   137.600245
0.424739   127.995981
0.434739   129.190423
0.444739   --undefined--
0.454739   --undefined--
0.464739   --undefined--
0.474739   --undefined--
0.484739   --undefined--
0.494739   --undefined--
0.504739   --undefined--
0.514739   --undefined--
0.524739   --undefined--
0.534739   --undefined--
0.544739   --undefined--
0.554739   127.257952
0.564739   125.846643
0.574739   125.561955
0.584739   125.825128
0.594739   121.904026
0.604739   115.796996
0.614739   116.016831
0.624739   --undefined--
0.634739   --undefined--
0.644739   --undefined--
0.654739   --undefined--
0.664739   --undefined--
0.674739   --undefined--
0.684739   112.019574
0.694739   111.043013
0.704739   109.365771
0.714739   109.835606
0.724739   110.805263
0.734739   113.487088
0.744739   116.420260
0.754739   118.352462
0.764739   119.421358
0.774739   119.535211
0.784739   118.475591
0.794739   114.765778
0.804739   117.500309
0.814739   117.995009
0.824739   118.096437
0.834739   118.150605
0.844739   117.948578
0.854739   117.970979
0.864739   117.769718
0.874739   117.559963
0.884739   116.656095
0.894739   114.925465
0.904739   113.965005
0.914739   111.168655
0.924739   109.226550
0.934739   105.615850
0.944739   105.853474
0.954739   106.300959
0.964739   --undefined--
0.974739   --undefined--
0.984739   --undefined--
0.994739   --undefined--
1.004739   --undefined--
1.014739   --undefined--
1.024739   --undefined--
1.034739   --undefined--
1.044739   --undefined--
1.054739   --undefined--
1.064739   --undefined--
1.074739   --undefined--
1.084739   --undefined--
1.094739   --undefined--
1.104739   --undefined--
1.114739   109.885164
1.124739   109.870686
1.134739   109.282509
1.144739   109.808012
1.154739   109.721312
1.164739   108.886780
1.174739   106.452355
1.184739   105.560338
1.194739   104.469154
1.204739   103.013242
1.214739   101.971959
1.224739   99.531919
1.234739   97.793376
1.244739   93.092982
1.254739   91.597861
1.264739   --undefined--
1.274739   --undefined--
1.284739   --undefined--
1.294739   --undefined--
1.304739   --undefined--
1.314739   --undefined--
1.324739   --undefined--
1.334739   --undefined--
1.344739   --undefined--
1.354739   --undefined--
1.364739   --undefined--
1.374739   86.226879
1.384739   85.835466
1.394739   84.831337
1.404739   86.036077
1.414739   87.021218
1.424739   87.046505
1.434739   91.368249
1.444739   95.257268
1.454739   92.673998
1.464739   90.390334
1.474739   --undefined--
1.484739   --undefined--
1.494739   --undefined--
1.504739   --undefined--
