Time_s   F0_Hz
0.021463   133.057721
0.031463   --undefined--
0.041463   --undefined--
0.051463   --undefined--
0.061463   --undefined--
0.071463   --undefined--
0.081463   --undefined--
0.091463   --undefined--
0.101463   --undefined--
0.111463   --undefined--
0.121463   --undefined--
0.131463   --undefined--
0.141463   --undefined--
0.151463   --undefined--
0.161463   163.934535
0.171463   159.065947
0.181463   151.391446
0.191463   145.221565
0.201463   --undefined--
0.211463   --undefined--
0.221463   --undefined--
0.231463   132.709033
0.241463   130.390460
0.251463   133.966265
0.261463   135.086404
0.271463   136.817301
0.281463   --undefined--
0.291463   --undefined--
0.301463   139.051683
0.311463   137.986330
0.321463   136.923013
0.331463   134.300199
0.341463   130.906848
0.351463   131.762006
0.361463   132.093600
0.371463   131.015675
0.381463   128.574167
0.391463   126.654920
0.401463   123.025206
0.411463   121.245066
0.421463   119.269345
0.431463   116.887074
0.441463   115.857054
0.451463   117.764826
0.461463   130.751121
0.471463   128.973312
0.481463   127.366954
0.491463   127.895922
0.501463   126.334674
0.511463   125.187056
0.521463   124.165968
0.531463   123.783381
0.541463   123.570554
0.551463   123.314607
0.561463   122.802833
0.571463   122.763156
0.581463   122.752195
0.591463   122.925193
0.601463   122.809985
0.611463   121.796933
0.621463   115.992128
0.631463   115.807692
0.641463   119.823296
0.651463   123.219384
0.661463   124.773661
0.671463   126.054561
0.681463   124.784793
0.691463   122.781246
0.701463   121.097178
0.711463   119.294661
0.721463   116.115868
0.731463   --undefined--
0.741463   --undefined--
0.751463   --undefined--
0.761463   --undefined--
0.771463   --undefined--
0.781463   --undefined--
0.791463   --undefined--
0.801463   --undefined--
0.811463   107.102608
0.821463   110.226851
0.831463   114.142883
0.841463   115.024662
0.851463   114.616239
0.861463   111.165296
0.871463   107.282770
0.881463   104.798147
0.891463   104.842067
0.901463   105.597550
0.911463   106.878110
0.921463   110.476274
0.931463   113.656291
0.941463   116.483959
0.951463   117.938489
0.961463   117.737820
0.971463   116.609053
0.981463   114.742673
0.991463   111.561625
1.001463   105.776029
1.011463   100.484604
1.021463   95.865448
1.031463   95.205404
1.041463   100.205534
1.051463   103.004706
1.061463   104.654464
1.071463   106.522815
1.081463   107.182874
1.091463   106.284010
1.101463   104.850078
1.111463   103.158173
1.121463   101.193490
1.131463   98.960459
1.141463   94.185848
1.151463   94.042432
1.161463   101.171043
1.171463   --undefined--
1.181463   --undefined--
1.191463   --undefined--
1.201463   --undefined--
1.211463   --undefined--
1.221463   --undefined--
1.231463   --undefined--
1.241463   --undefined--
1.251463   --undefined--
1.261463   --undefined--
1.271463   118.643561
1.281463   95.520514
1.291463   96.937285
1.301463   98.921857
1.311463   99.111377
1.321463   99.175795
1.331463   98.740968
1.341463   97.973763
1.351463   97.262586
1.361463   96.984617
1.371463   96.148317
1.381463   93.323742
1.391463   --undefined--
1.401463   --undefined--
1.411463   --undefined--
1.421463   --undefined--
1.431463   --undefined--
1.441463   --undefined--
1.451463   --undefined--
1.461463   --undefined--
1.471463   --undefined--
1.481463   --undefined--
1.491463   97.371720
1.501463   98.853515
1.511463   99.214523
1.521463   98.274635
1.531463   98.320031
1.541463   86.946085
1.551463   94.030360
1.561463   94.760142
1.571463   94.820091
1.581463   94.371867
1.591463   93.311061
1.601463   92.307892
1.611463   90.365453
1.621463   84.600925
1.631463   84.290275
1.641463   90.470365
1.651463   89.904179
1.661463   89.445440
1.671463   88.285505
1.681463   87.856068
1.691463   87.870817
1.701463   86.162897
1.711463   86.630971
1.721463   88.009149
1.731463   86.973469
1.741463   86.383512
1.751463   83.407125
1.761463   82.101694
1.771463   82.060780
1.781463   --undefined--
1.791463   --undefined--
1.801463   --undefined--
1.811463   --undefined--
1.821463   --undefined--
1.831463   --undefined--
1.841463   --undefined--
1.851463   --undefined--
1.861463   --undefined--
1.871463   --undefined--
1.881463   --undefined--
1.891463   --undefined--
1.901463   92.269044
1.911463   92.187437
1.921463   89.478592
1.931463   83.915773
1.941463   81.506769
1.951463   80.121404
1.961463   77.297816
1.971463   77.005307
1.981463   75.489558
1.991463   85.035813
2.001463   84.163663
2.011463   77.688998
2.021463   77.225316
2.031463   77.513268
2.041463   --undefined--
2.051463   --undefined--
2.061463   --undefined--
2.071463   --undefined--
2.081463   --undefined--
2.091463   --undefined--
2.101463   --undefined--
2.111463   --undefined--
2.121463   --undefined--
2.131463   --undefined--
2.141463   --undefined--
2.151463   --undefined--
2.161463   --undefined--
2.171463   263.019457
2.181463   270.401013
2.191463   271.606524
2.201463   273.822512
2.211463   275.301890
2.221463   --undefined--
2.231463   --undefined--
2.241463   --undefined--
2.251463   --undefined--
2.261463   --undefined--
2.271463   --undefined--
2.281463   --undefined--
2.291463   --undefined--
2.301463   --undefined--
2.311463   --undefined--
2.321463   --undefined--
2.331463   --undefined--
2.341463   --undefined--
2.351463   --undefined--
2.361463   --undefined--
2.371463   --undefined--
2.381463   --undefined--
2.391463   --undefined--
2.401463   --undefined--
2.411463   --undefined--
2.421463   --undefined--
2.431463   --undefined--
2.441463   --undefined--
2.451463   --undefined--
