Time_s   F0_Hz
0.020578   238.271714
0.030578   253.106576
0.040578   264.046247
0.050578   272.164001
0.060578   282.290017
0.070578   293.326431
0.080578   299.988703
0.090578   304.132963
0.100578   306.299470
0.110578   299.633835
0.120578   299.982429
0.130578   300.147802
0.140578   297.623524
0.150578   --undefined--
0.160578   --undefined--
0.170578   --undefined--
0.180578   --undefined--
0.190578   306.916883
0.200578   292.429635
0.210578   281.077320
0.220578   280.519150
0.230578   279.446136
0.240578   278.869465
0.250578   282.253206
0.260578   287.814787
0.270578   290.278241
0.280578   284.961716
0.290578   282.441974
0.300578   281.123197
0.310578   272.102745
0.320578   268.822857
0.330578   267.022818
0.340578   --undefined--
0.350578   --undefined--
0.360578   --undefined--
0.370578   --undefined--
0.380578   --undefined--
0.390578   --undefined--
0.400578   --undefined--
0.410578   --undefined--
0.420578   --undefined--
0.430578   --undefined--
0.440578   --undefined--
0.450578   --undefined--
0.460578   --undefined--
0.470578   --undefined--
0.480578   --undefined--
0.490578   --undefined--
0.500578   --undefined--
0.510578   --undefined--
0.520578   --undefined--
0.530578   --undefined--
0.540578   243.904186
0.550578   242.055875
0.560578   242.947956
0.570578   245.681597
0.580578   247.924813
0.590578   249.464576
0.600578   249.676763
0.610578   249.142636
0.620578   247.824145
0.630578   248.534769
0.640578   248.015623
0.650578   247.085341
0.660578   246.398275
0.670578   247.843191
0.680578   248.849611
0.690578   248.193341
0.700578   246.621923
0.710578   245.415742
0.720578   243.114465
0.730578   240.294372
0.740578   237.289098
0.750578   234.228971
0.760578   231.509425
0.770578   229.843569
0.780578   228.124980
0.790578   226.615640
0.800578   224.981516
0.810578   222.689444
0.820578   225.402693
0.830578   223.845575
0.840578   220.455612
0.850578   216.278446
0.860578   212.061566
0.870578   --undefined--
0.880578   --undefined--
0.890578   --undefined--
0.900578   --undefined--
0.910578   --undefined--
0.920578   --undefined--
0.930578   --undefined--
0.940578   --undefined--
0.950578   225.766610
0.960578   216.749193
0.970578   213.318383
0.980578   208.299941
0.990578   200.724168
1.000578   205.279532
1.010578   --undefined--
1.020578   --undefined--
1.030578   --undefined--
1.040578   --undefined--
1.050578   --undefined--
1.060578   --undefined--
1.070578   --undefined--
1.080578   --undefined--
1.090578   --undefined--
1.100578   --undefined--
1.110578   --undefined--
1.120578   --undefined--
1.130578   --undefined--
1.140578   --undefined--
1.150578   217.463485
1.160578   211.941908
1.170578   202.519701
1.180578   197.288663
1.190578   196.684139
1.200578   194.634735
1.210578   192.297544
1.220578   189.592454
1.230578   186.654180
1.240578   183.900618
1.250578   181.130981
1.260578   177.661284
1.270578   178.015094
1.280578   180.707140
1.290578   190.471253
1.300578   195.065268
1.310578   193.865982
1.320578   194.735597
1.330578   195.552097
1.340578   193.818616
1.350578   186.349710
1.360578   182.825118
1.370578   181.493749
1.380578   180.055939
1.390578   174.084769
1.400578   --undefined--
1.410578   --undefined--
1.420578   --undefined--
1.430578   --undefined--
1.440578   --undefined--
1.450578   --undefined--
1.460578   194.625835
1.470578   190.699732
1.480578   186.782207
1.490578   184.296538
1.500578   183.168398
1.510578   181.959200
1.520578   180.340097
1.530578   176.808249
1.540578   175.908407
1.550578   180.640489
1.560578   179.333580
1.570578   182.899679
1.580578   198.855613
1.590578   230.181086
1.600578   --undefined--
1.610578   --undefined--
1.620578   --undefined--
1.630578   --undefined--
1.640578   --undefined--
1.650578   --undefined--
1.660578   --undefined--
1.670578   --undefined--
1.680578   --undefined--
1.690578   --undefined--
1.700578   --undefined--
1.710578   --undefined--
1.720578   --undefined--
1.730578   --undefined--
1.740578   --undefined--
1.750578   --undefined--
1.760578   --undefined--
1.770578   --undefined--
1.780578   --undefined--
1.790578   --undefined--
